country_name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United Kingdom,2,0,0.222222222,0.2,0.137931034,0.075471698,0.097560976,0.1171875,0.144927536,0.099337748,0.164179104,0.086538462,0.132978723,0.184210526,0.096153846,0.095,0.121621622
Ireland,0,0.666666667,0.222222222,0.28,0.068965517,0.188679245,0.073170732,0.09375,0.028985507,0.006622517,0.014925373,0.004807692,0.021276596,0.00877193,0.033653846,0.005,0
Germany,0,0.333333333,0.333333333,0.32,0.310344828,0.396226415,0.317073171,0.28125,0.282608696,0.40397351,0.28358209,0.293269231,0.260638298,0.434210526,0.293269231,0.435,0.310810811
USA,0,0.333333333,0,0.32,0.172413793,0.358490566,0.292682927,0.3359375,0.217391304,0.284768212,0.333333333,0.384615385,0.393617021,0.276315789,0.360576923,0.285,0.662162162
China,0,0.333333333,0,0.12,0.034482759,0.113207547,0.134146341,0.171875,0.231884058,0.291390728,0.467661692,0.456730769,0.537234043,0.692982456,0.677884615,0.635,0.72972973
Italy,0,0,0.222222222,0.04,0.068965517,0.056603774,0.170731707,0.109375,0.086956522,0.092715232,0.074626866,0.038461538,0.069148936,0.083333333,0.149038462,0.085,0.081081081
Japan,0,0,0.222222222,0,0.068965517,0.018867925,0.048780488,0,0.043478261,0.01986755,0.044776119,0.096153846,0.042553191,0.048245614,0.033653846,0.07,0.013513514
Canada,0,0,0.111111111,0.04,0,0.113207547,0.097560976,0.0546875,0.036231884,0.052980132,0.039800995,0.028846154,0.138297872,0.026315789,0.081730769,0.11,0.054054054
France,0,0,0.111111111,0.04,0,0,0.012195122,0.125,0.086956522,0.052980132,0.094527363,0.067307692,0.085106383,0.030701754,0.076923077,0.055,0.135135135
Czech Republic,0,0,0,0.16,0,0.075471698,0.012195122,0.03125,0.028985507,0,0.004975124,0.004807692,0.037234043,0.013157895,0.009615385,0.01,0
Austria,0,0,0,0.04,0.068965517,0.075471698,0.097560976,0.078125,0.094202899,0.046357616,0.059701493,0.024038462,0.095744681,0.070175439,0.024038462,0.07,0.054054054
Portugal,0,0,0,0.04,0,0,0,0.0390625,0.065217391,0.079470199,0.044776119,0.038461538,0.015957447,0.00877193,0.019230769,0.025,0.067567568
Sweden,0,0,0,0.04,0,0,0,0.0078125,0.014492754,0.026490066,0.004975124,0.009615385,0.026595745,0.030701754,0.024038462,0.01,0.067567568
Bangladesh,0,0,0,0,0.068965517,0,0.024390244,0.0078125,0,0,0.004975124,0,0.021276596,0.026315789,0,0,0
South Africa,0,0,0,0,0.068965517,0,0,0.0078125,0,0,0.004975124,0.004807692,0,0.004385965,0.004807692,0,0
Netherlands,0,0,0,0,0.034482759,0.056603774,0.06097561,0.0234375,0.043478261,0.013245033,0.054726368,0.019230769,0.10106383,0.065789474,0.024038462,0.075,0.081081081
Switzerland,0,0,0,0,0.034482759,0.018867925,0.012195122,0.015625,0.028985507,0.039735099,0.024875622,0.009615385,0.021276596,0.021929825,0.043269231,0.075,0.054054054
Romania,0,0,0,0,0.034482759,0,0.012195122,0,0.007246377,0,0,0,0,0.004385965,0.009615385,0.01,0
South Korea,0,0,0,0,0.034482759,0,0,0,0,0.006622517,0.004975124,0.043269231,0.005319149,0.013157895,0.019230769,0.03,0.027027027
Spain,0,0,0,0,0,0.037735849,0.073170732,0.03125,0.007246377,0.01986755,0.039800995,0.043269231,0.026595745,0.052631579,0.048076923,0.075,0.067567568
Israel,0,0,0,0,0,0.037735849,0.06097561,0.0234375,0,0.006622517,0.009950249,0.009615385,0.010638298,0.01754386,0.024038462,0.025,0
Greece,0,0,0,0,0,0.018867925,0,0.046875,0.036231884,0.046357616,0.009950249,0.014423077,0,0.013157895,0.009615385,0.025,0.013513514
Brazil,0,0,0,0,0,0.018867925,0,0.015625,0.028985507,0.026490066,0.094527363,0.024038462,0.021276596,0.048245614,0.043269231,0.075,0.216216216
Australia,0,0,0,0,0,0,0.036585366,0.0546875,0,0.01986755,0.049751244,0.076923077,0.095744681,0.052631579,0.072115385,0.065,0.013513514
Singapore,0,0,0,0,0,0,0.036585366,0,0.02173913,0.026490066,0.014925373,0.014423077,0.053191489,0.061403509,0.024038462,0.08,0.040540541
India,0,0,0,0,0,0,0.036585366,0,0.007246377,0.066225166,0.034825871,0.004807692,0.031914894,0.035087719,0.0625,0.03,0.040540541
Iran,0,0,0,0,0,0,0.024390244,0.0546875,0,0.013245033,0.009950249,0.009615385,0.010638298,0.035087719,0.043269231,0.03,0
Russia,0,0,0,0,0,0,0.024390244,0.03125,0.014492754,0.006622517,0.044776119,0.004807692,0.042553191,0.039473684,0.004807692,0.03,0.054054054
Poland,0,0,0,0,0,0,0.024390244,0,0.043478261,0,0.009950249,0.052884615,0.031914894,0.01754386,0.038461538,0.015,0.027027027
Belgium,0,0,0,0,0,0,0,0.0078125,0.02173913,0.046357616,0.034825871,0.028846154,0.026595745,0.021929825,0.004807692,0.005,0
Denmark,0,0,0,0,0,0,0,0.0078125,0.007246377,0,0.014925373,0.028846154,0.015957447,0.013157895,0.009615385,0.015,0.067567568
Turkey,0,0,0,0,0,0,0,0,0.014492754,0.006622517,0.044776119,0.048076923,0.037234043,0.030701754,0.019230769,0.005,0
Hungary,0,0,0,0,0,0,0,0,0,0.039735099,0,0,0.015957447,0.004385965,0,0.005,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0.004807692,0.021276596,0.030701754,0.024038462,0.025,0.081081081
